,No,Name,Type,Zone,TTChange,Date From,Date To,From,Dep,To,Arr,Duration,Halts,Dep Days,Classes,Distance,Speed,Return
28,06921,Belagavi - Vasco Da Gama Passenger Special (UnReserved),Pass,SWR,No TT Change,Sep 06,Dec 07,BGM,12:30,VSG,18:20,5h 50m,13,     FS,NULL,160 km,27 km/hr,06922
29,04810,Ramdevra - Jodhpur  Mela Special (UnReserved),Pass,NWR,Src/Dest Changed.,Aug 28,Sep 10,RDRA,00:30,JU,04:00,3h 30m,7,SMTWTFS,NULL,183 km,52 km/hr,04809
30,04812,Marwar - Jodhpur Mela Special (UnReserved),Pass,NWR,Slowed: 5m,Aug 27,Sep 10,MJ,09:45,JU,11:50,2h 5m,2,SMTWTFS,NULL,104 km,50 km/hr,04811
31,04811,Jodhpur - Marwar Mela Special (UnReserved),Pass,NWR,Slowed: 5m,Aug 27,Sep 10,JU,04:25,MJ,07:00,2h 35m,2,SMTWTFS,NULL,104 km,40 km/hr,04812
32,04813,Jodhpur - Ramdevra Mela Special (UnReserved),Pass,NWR,No TT Change,Aug 27,Sep 10,JU,12:30,RDRA,16:00,3h 30m,7,SMTWTFS,NULL,183 km,52 km/hr,04814
33,04814,Ramdevra - Jodhpur Mela Special (UnReserved),Pass,NWR,No TT Change,Aug 27,Sep 10,RDRA,16:30,JU,20:45,4h 15m,7,SMTWTFS,NULL,183 km,43 km/hr,04813
34,06520,K.S.R Bengaluru - Marikuppam Special (UnReserved),Pass,SWR,No TT Change,Sep 08,Sep 08,SBC,20:15,MKM,22:15,2h 0m,11,S      ,NULL,86 km,43 km/hr,NULL
35,57257,Tirupati Main - Kakinada Port Passenger,Pass,SCoR,Speeded: 10m,NULL,Nov 13,TPTY,01:15,COA,20:45,19h 30m,84,SMTWTFS,SL ,601 km,31 km/hr,57258
36,57258,Kakinada Port - Tirupati Main Passenger,Pass,SCoR,No Speed Change,NULL,Nov 12,COA,07:00,TPTY,02:45,19h 45m,82,SMTWTFS,SL ,601 km,30 km/hr,57257
37,09768,Durgapura - Sawai Madhopur Ganesh Puja Passenger Special (UnReserved),Pass,WCR,No TT Change,Sep 02,Sep 04,DPA,01:15,SWM,03:55,2h 40m,9, M W   ,NULL,124 km,47 km/hr,09767
38,09767,Sawai Madhopur - Durgapura Ganesh Puja Passenger Special (UnReserved),Pass,WCR,No TT Change,Sep 01,Sep 03,SWM,21:35,DPA,00:40,3h 5m,9,S T    ,NULL,124 km,40 km/hr,09768
39,05522,Saharsa - Jamalpur Passenger Special (UnReserved),Pass,ECR,Src/Dest Changed.,NULL,Mar 01,SHC,05:10,JMP,08:00,2h 50m,10,SMTWTFS,NULL,78 km,28 km/hr,05521
40,05521,Jamalpur - Saharsa Passenger Special (UnReserved),Pass,ECR,Src/Dest Changed.,NULL,Feb 29,JMP,21:55,SHC,01:00,3h 5m,10,SMTWTFS,NULL,78 km,25 km/hr,05522
41,55091,Lakhimpur - Sitapur Inauguration special (UnReserved),Pass,NER,No TT Change,Aug 28,Aug 28,LMP,13:40,STP,14:55,1h 15m,7,   W   ,NULL,46 km,37 km/hr,NULL
42,04808,Pokran - Jodhpur Mela Special (UnReserved),Pass,NWR,Src/Dest Changed.,Aug 24,Sep 17,POK,13:40,JU,17:50,4h 10m,8,SMTWTFS,NULL,194 km,46 km/hr,04807
43,04807,Jodhpur - Pokran Mela Special (UnReserved),Pass,NWR,Src/Dest Changed.,Aug 24,Sep 17,JU,08:20,POK,13:10,4h 50m,8,SMTWTFS,NULL,194 km,40 km/hr,04808
44,06212,Sakleshpur - Hassan Special (UnReserved),Pass,SWR,No TT Change,Aug 17,Aug 22,SKLR,13:10,HAS,14:15,1h 5m,0,SMTWT S,NULL,42 km,39 km/hr,06211
45,06211,Hassan - Sakleshpur Special (UnReserved),Pass,SWR,No TT Change,Aug 17,Aug 22,HAS,11:45,SKLR,12:50,1h 5m,0,SMTWT S,NULL,42 km,39 km/hr,06212
46,AVSSP2,Veraval - Amreli Shravan Special MG Passenger (UnReserved),Pass,WR,No TT Change,Aug 19,Aug 26,VRLF,13:20,AE,17:50,4h 30m,12, M     ,NULL,147 km,33 km/hr,AVSSP1
47,AVSSP1,Amreli - Veraval Shravan Special MG Passenger (UnReserved),Pass,WR,No TT Change,Aug 19,Aug 26,AE,06:00,VRLF,10:30,4h 30m,12, M     ,NULL,147 km,33 km/hr,AVSSP2
48,04448,Rohtak - New Delhi Rakshabandhan Passenger Special (UnReserved),Pass,NR,No TT Change,Aug 15,Aug 15,ROK,12:45,NDLS,15:10,2h 25m,15,    T  ,NULL,71 km,29 km/hr,04447
49,04447,New Delhi - Rohtak Rakshabandhan Passenger Special (UnReserved),Pass,NR,No TT Change,Aug 15,Aug 15,NDLS,08:00,ROK,10:05,2h 5m,15,SMTWTFS,NULL,71 km,34 km/hr,04448
50,04446,Panipat - New Delhi Rakshabandhan Passenger Special (UnReserved),Pass,NR,No TT Change,Aug 15,Aug 15,PNP,12:00,NDLS,14:40,2h 40m,17,    T  ,NULL,90 km,34 km/hr,04445
51,04445,New Delhi - Panipat Rakshabandhan Passenger Special (UnReserved),Pass,NR,No TT Change,Aug 15,Aug 15,NDLS,09:15,PNP,11:40,2h 25m,17,    T  ,NULL,90 km,37 km/hr,04446
52,04443,Palwal - New Delhi Rakshabandhan Passenger Special (UnReserved),Pass,NR,No TT Change,Aug 15,Aug 15,PWL,13:00,NDLS,14:25,1h 25m,9,    T  ,NULL,57 km,40 km/hr,04444
53,04444,New Delhi - Palwal Rakshabandhan Passenger  Special (UnReserved),Pass,NR,No TT Change,Aug 15,Aug 15,NDLS,10:25,PWL,11:55,1h 30m,9,    T  ,NULL,57 km,38 km/hr,04443
54,05683,Bir - Itarsi Passenger Special (UnReserved),Pass,WCR,No TT Change,NULL,Dec 28,BIR,19:25,ET,00:30,5h 5m,7,      S,NULL,186 km,37 km/hr,05684
55,05684,Itarsi - Bir Passenger Special (UnReserved),Pass,WCR,No TT Change,NULL,Dec 30,ET,01:40,BIR,05:45,4h 5m,7, M     ,NULL,186 km,46 km/hr,05683
56,06086,Pollachi - Coimbatore Passenger Special (UnReserved),Pass,SR,Src/Dest Changed.,NULL,Jan 21,POY,20:30,CBE,21:50,1h 20m,2, MTWTFS,NULL,46 km,34 km/hr,06085
57,06085,Coimbatore - Pollachi Passenger Special (UnReserved),Pass,SR,Src/Dest Changed.,NULL,Jan 21,CBE,18:30,POY,20:00,1h 30m,2, MTWTFS,NULL,46 km,31 km/hr,06086
58,07178,Hyderabad - Kalaburagi Passenger Special (UnReserved),Pass,SCR,Dest Changed.,Jul 18,Jul 21,HYB,23:45,KLBG,06:25,6h 40m,22,S   T  ,NULL,222 km,33 km/hr,07177
59,07177,Kalaburagi - Hyderabad Passenger Special (UnReserved),Pass,SCR,Src Changed.,Jul 19,Jul 22,KLBG,07:00,HYB,12:30,5h 30m,22, M   F ,NULL,222 km,40 km/hr,07178
60,08918,Puri - Bhadrak Rath Yatra Special (UnReserved),Pass,ECoR,No TT Change,Jul 12,Jul 13,PURI,15:25,BHC,20:30,5h 5m,0,     FS,NULL,206 km,41 km/hr,08917
61,08919,Cuttack - Puri Rath Yatra Passenger Special (UnReserved),Pass,ECoR,No TT Change,Jul 12,Jul 13,CTC,06:30,PURI,09:30,3h 0m,20,     F ,NULL,91 km,30 km/hr,08920
62,08425,Kendujhargarh - Puri Rath Yatra Passenger Special (UnReserved),Pass,ECoR,No TT Change,Jul 12,Jul 13,KDJR,06:15,PURI,14:15,8h 0m,0,      S,NULL,277 km,35 km/hr,08405XX
63,08909,Palasa - Puri Rath Yatra Passenger Special (UnReserved),Pass,ECoR,No TT Change,Jul 12,Jul 13,PSA,04:25,PURI,12:35,8h 10m,0,     FS,NULL,265 km,32 km/hr,08910
64,08920,Puri - Cuttack Rath Yatra Passenger Special (UnReserved),Pass,ECoR,No TT Change,Jul 12,Jul 12,PURI,23:50,CTC,02:25,2h 35m,20,     F ,NULL,91 km,35 km/hr,08919
65,08917,Bhadrak - Puri Rath Yatra Passenger Special (UnReserved),Pass,ECoR,No TT Change,Jul 12,Jul 12,BHC,05:15,PURI,13:15,8h 0m,0,     F ,NULL,206 km,26 km/hr,08918
66,08946,Nayagarh Town - Khurda Road Rath Yatra Passenger Special (UnReserved),Pass,ECoR,No TT Change,Jul 05,Jul 13,NYGT,18:00,KUR,20:45,2h 45m,0,SMTWTFS,NULL,66 km,24 km/hr,08945
67,08945,Khurda Road - Nayagarh Town Rath Yatra Passenger Special (UnReserved),Pass,ECoR,No TT Change,Jul 05,Jul 13,KUR,17:10,NYGT,18:45,1h 35m,0,SMTWTFS,NULL,66 km,42 km/hr,08946
68,08944,Nayagarh Town - Khurda Road Rath Yatra Passenger Special (UnReserved),Pass,ECoR,No TT Change,Jul 10,Jul 12,NYGT,14:30,KUR,16:30,2h 0m,0,   W F ,NULL,66 km,33 km/hr,08943
69,08943,Khurda Road - Nayagarh Town Rath Yatra Passenger Special (UnReserved),Pass,ECoR,No TT Change,Jul 10,Jul 12,KUR,12:00,NYGT,14:00,2h 0m,0,   W F ,NULL,66 km,33 km/hr,08944
70,08942,Nayagarh Town - Khurda Road Rath Yatra Passenger Special (UnReserved),Pass,ECoR,No TT Change,Jul 05,Jul 13,NYGT,10:20,KUR,11:30,1h 10m,0,SMTWTFS,NULL,66 km,57 km/hr,08941
71,08941,Khurda Road - Nayagarh Town Rath Yatra Passenger Special (UnReserved),Pass,ECoR,No TT Change,Jul 05,Jul 13,KUR,07:30,NYGT,10:00,2h 30m,0,SMTWTFS,NULL,66 km,27 km/hr,08942
72,06528,Pandharpur - Hubballi Fast Passenger Special (UnReserved),Pass,SWR,No TT Change,Jul 07,Jul 15,PVR,19:00,UBL,04:15,9h 15m,9,SMTWTFS,NULL,416 km,45 km/hr,06527
73,06527,Hubballi - Pandharpur Fast Passenger Special (UnReserved),Pass,SWR,No TT Change,Jul 07,Jul 15,UBL,05:20,PVR,17:05,11h 45m,9,SMTWTFS,NULL,416 km,35 km/hr,06528
74,09072,Valsad - Vapi Passenger Special (UnReserved),Pass,WR,Slowed: 10m,NULL,Dec 31,BL,07:45,VAPI,08:25,0h 40m,3,SMTWTFS,NULL,26 km,39 km/hr,09069
75,09069,Vapi - Surat Passenger Special (UnReserved),Pass,WR,No Speed Change,May 04,Dec 31,VAPI,09:00,ST,11:30,2h 30m,16,SMTWTFS,NULL,95 km,38 km/hr,09072
76,04782,Anupgarh - Bathinda Passenger Special (UnReserved),Pass,NWR,No TT Change,Jul 06,Dec 31,APH,12:30,BTI,17:30,5h 0m,11,SMTWTFS,NULL,220 km,44 km/hr,04781
77,04781,Bathinda - Anupgarh Passenger Special (UnReserved),Pass,NWR,No TT Change,Jul 07,Dec 31,BTI,06:40,APH,11:55,5h 15m,11,SMTWTFS,NULL,220 km,42 km/hr,04782
78,04784,Suratgarh - Bhatinda Passenger Special (UnReserved),Pass,NWR,No TT Change,Jul 07,Dec 31,SOG,06:20,BTI,09:30,3h 10m,7,SMTWTFS,NULL,142 km,45 km/hr,04783
79,04783,Bathinda - Suratgarh Passenger Special (UnReserved),Pass,NWR,No TT Change,Jul 06,Dec 31,BTI,19:00,SOG,22:00,3h 0m,7,SMTWTFS,NULL,142 km,47 km/hr,04784
80,04773,Shri Ganganagar - Suratgarh Passenger Special (UnReserved),Pass,NWR,Slowed: 25m,NULL,Jan 01,SGNR,19:30,SOG,23:00,3h 30m,14,SMTWTFS,NULL,137 km,39 km/hr,04774
81,04774,Suratgarh - Shri Ganganagar Passenger Special (UnReserved),Pass,NWR,Slowed: 5m,NULL,Jan 01,SOG,01:15,SGNR,03:55,2h 40m,9,SMTWTFS,NULL,137 km,51 km/hr,04773
82,04770,Shri Ganganagar - Hanumangarh Special (UnReserved),Pass,NWR,No Speed Change,NULL,Dec 31,SGNR,15:30,HMH,17:05,1h 35m,8,SMTWTFS,NULL,67 km,42 km/hr,04769
83,04767,Hanumangarh - Shri Ganganagar  Passenger Special (UnReserved),Pass,NWR,Speeded: 5m,NULL,Dec 31,HMH,14:30,SGNR,16:05,1h 35m,8,SMTWTFS,NULL,67 km,42 km/hr,04768
84,04768,Shri Ganganagar -  Hanumangarh Passenger Special (UnReserved),Pass,NWR,Speeded: 5m,NULL,Dec 31,SGNR,11:15,HMH,13:00,1h 45m,8,SMTWTFS,NULL,67 km,38 km/hr,04767
85,04769,Hanumangarh - Shri Ganganagar Special (UnReserved),Pass,NWR,Slowed: 5m,NULL,Dec 31,HMH,07:15,SGNR,08:50,1h 35m,8,SMTWTFS,NULL,67 km,42 km/hr,04770
86,04777,Sadulpur - Hanumangarh Passenger Special (UnReserved),Pass,NWR,No Speed Change,NULL,Dec 31,SDLP,05:15,HMH,09:35,4h 20m,20,SMTWTFS,NULL,178 km,41 km/hr,04778
87,09763,Suratgarh - Hanumangarh Passenger Special (UnReserved),Pass,NWR,No TT Change,NULL,Dec 31,SOG,18:50,HMH,20:00,1h 10m,3,SMTWTFS,NULL,50 km,43 km/hr,09764
88,04776,Hanumangarh - Sadulpur Passenger Special (UnReserved),Pass,NWR,Speeded: 15m,NULL,Dec 31,HMH,14:10,SDLP,18:25,4h 15m,20,SMTWTFS,NULL,178 km,42 km/hr,04775
