,No,Name,Type,Zone,TTChange,Date From,Date To,From,Dep,To,Arr,Duration,Halts,Dep Days,Classes,Distance,Speed,Return
504,54475,Delhi - Haridwar Passenger (via Shamli) (UnReserved),Pass,NR,Slowed: 5m,NULL,NULL,DLI,09:50,HW,21:55,12h 5m,48,SMTWTFS,NULL,245 km,20 km/hr,54476
505,54540,Ambala Cantt - Hazrat Nizamuddin Passenger (Via - Meerut Cantt) (UnReserved),Pass,NR,Speeded: 35m,NULL,NULL,UMB,15:10,NZM,01:00,9h 50m,38,SMTWTFS,NULL,273 km,28 km/hr,54539
506,51911,Delhi - Saharanpur Passenger (via Shamli) (UnReserved),Pass,NCR,No Speed Change,NULL,NULL,DLI,12:45,SRE,17:50,5h 5m,34,SMTWTFS,NULL,165 km,32 km/hr,51912
507,51907,Shamli - Saharanpur Passenger (UnReserved),Pass,NCR,Speeded: 5m,NULL,NULL,SMQL,18:45,SRE,20:45,2h 0m,11,SMTWTFS,NULL,71 km,35 km/hr,51908
508,54471,Delhi - Rishikesh Passenger (Via - Meerut Cantt) (UnReserved),Pass,NR,Slowed: 5m,NULL,NULL,DLI,17:35,RKSH,04:45,11h 10m,42,SMTWTFS,NULL,284 km,25 km/hr,54472
509,54473,Delhi - Saharanpur Passenger (Via Meerut Cantt) (UnReserved),Pass,NR,Speeded: 9m,NULL,NULL,DLI,18:15,SRE,00:01,5h 46m,31,SMTWTFS,NULL,189 km,33 km/hr,54474
510,51913,Delhi - Saharanpur Passenger (Via - Shamli) (UnReserved),Pass,NCR,No Speed Change,NULL,NULL,DLI,18:05,SRE,23:35,5h 30m,30,SMTWTFS,NULL,165 km,30 km/hr,51914
511,54552,Bathinda - Ambala Cantt Passenger (UnReserved),Pass,NR,No Speed Change,NULL,NULL,BTI,07:30,UMB,12:45,5h 15m,24,SMTWTFS,NULL,201 km,38 km/hr,54551
512,54532,Kalka - Ambala Cantt Passenger (UnReserved),Pass,NR,No Speed Change,NULL,NULL,KLK,13:05,UMB,14:45,1h 40m,6,SMTWTFS,NULL,70 km,42 km/hr,54531
513,54558,Patiala - Ambala Cantt Passenger (UnReserved),Pass,NR,No Speed Change,NULL,NULL,PTA,17:15,UMB,18:35,1h 20m,5, MTWTFS,NULL,53 km,40 km/hr,54557
514,54556,Bathinda - Ambala Cantt Passenger (UnReserved),Pass,NR,Slowed: 5m,NULL,NULL,BTI,17:50,UMB,23:15,5h 25m,22,SMTWTFS,NULL,201 km,37 km/hr,NULL
515,54576,Lohian Khas - Ludhiana Passenger (UnReserved),Pass,NR,No Speed Change,NULL,NULL,LNK,05:50,LDH,08:20,2h 30m,13,SMTWTFS,NULL,77 km,31 km/hr,54575
516,54053,Jakhal - Ludhiana Passenger (UnReserved),Pass,NR,No Speed Change,NULL,NULL,JHL,05:20,LDH,08:35,3h 15m,17,SMTWTFS,NULL,129 km,40 km/hr,54054
517,54646,Firozpur Cantt - Ludhiana Passenger (UnReserved),Pass,NR,No TT Change,NULL,NULL,FZR,05:10,LDH,08:35,3h 25m,18,SMTWTFS,NULL,124 km,36 km/hr,54645
518,54603,Hisar - Ludhiana Passenger (UnReserved),Pass,NR,No Speed Change,NULL,NULL,HSR,04:30,LDH,10:15,5h 45m,28,SMTWTFS,NULL,210 km,37 km/hr,54606
519,54605,Churu - Ludhiana Passenger,Pass,NR,Src Changed.,NULL,NULL,CUR,05:15,LDH,14:15,9h 0m,39,SMTWTFS,SL ,338 km,38 km/hr,54604
520,54572,Firozpur Cantt - Ludhiana Passenger (UnReserved),Pass,NR,No Speed Change,NULL,NULL,FZR,11:00,LDH,14:50,3h 50m,18,SMTWTFS,NULL,124 km,32 km/hr,54571
521,54052,Firozpur Cantt - Ludhiana Passenger (UnReserved),Pass,NR,No TT Change,NULL,NULL,FZR,14:00,LDH,16:50,2h 50m,12,SMTWTFS,NULL,124 km,44 km/hr,54051
522,54633,Sirsa - Ludhiana Passenger (UnReserved),Pass,NR,No Speed Change,NULL,NULL,SSA,11:40,LDH,18:45,7h 5m,35,SMTWTFS,NULL,292 km,41 km/hr,NULL
523,54635,Hisar - Ludhiana Passenger (UnReserved),Pass,NR,No Speed Change,NULL,NULL,HSR,16:00,LDH,22:05,6h 5m,26,SMTWTFS,NULL,210 km,35 km/hr,54636
524,54612,Pathankot - Amritsar Passenger (UnReserved),Pass,NR,No TT Change,NULL,NULL,PTK,05:15,ASR,08:10,2h 55m,15,SMTWTFS,NULL,107 km,37 km/hr,54615
525,54614,Pathankot - Amritsar Passenger (UnReserved),Pass,NR,No Speed Change,NULL,NULL,PTK,08:00,ASR,11:00,3h 0m,15,SMTWTFS,NULL,107 km,36 km/hr,54611
526,54616,Pathankot - Amritsar Passenger (UnReserved),Pass,NR,No Speed Change,NULL,NULL,PTK,17:15,ASR,20:20,3h 5m,15,SMTWTFS,NULL,107 km,35 km/hr,54613
527,54474,Saharanpur -  Delhi Passenger (via Meerut Cantt) (UnReserved),Pass,NR,Speeded: 5m,NULL,NULL,SRE,03:55,DLI,08:55,5h 0m,26,SMTWTFS,NULL,189 km,38 km/hr,54473
528,54412,Meerut Cantt. - Rewari Passenger (UnReserved),Pass,NR,No Speed Change,NULL,NULL,MUT,06:45,RE,12:10,5h 25m,35,SMTWTFS,NULL,160 km,30 km/hr,54411
529,54055,Moradabad - Delhi Passenger (UnReserved),Pass,NR,Speeded: 55m,NULL,NULL,MB,15:50,DLI,20:50,5h 0m,24,SMTWTFS,NULL,161 km,32 km/hr,54056
530,54411,Rewari - Meerut Cantt. Passenger (UnReserved),Pass,NR,No Speed Change,NULL,NULL,RE,14:55,MUT,20:40,5h 45m,35,SMTWTFS,NULL,160 km,28 km/hr,54412
531,54307,Moradabad - Delhi Passenger (UnReserved),Pass,NR,Speeded: 1h 15m,NULL,NULL,MB,18:30,DLI,23:25,4h 55m,22,SMTWTFS,NULL,161 km,33 km/hr,54308
532,51906,Shamli - Delhi Passenger (UnReserved),Pass,NCR,Slowed: 15m,NULL,NULL,SMQL,01:55,DLI,04:40,2h 45m,14,SMTWTFS,NULL,94 km,34 km/hr,51905
533,54058,Shamli - Delhi Passenger (UnReserved),Pass,NR,No Speed Change,NULL,NULL,SMQL,03:15,DLI,06:55,3h 40m,22,SMTWTFS,NULL,94 km,26 km/hr,54057
534,51914,Saharanpur - Delhi Passenger (Via - Shamli) (UnReserved),Pass,NCR,No Speed Change,NULL,NULL,SRE,03:15,DLI,08:10,4h 55m,26,SMTWTFS,NULL,165 km,34 km/hr,51913
535,54424,Bhiwani - Delhi Passenger (UnReserved),Pass,NR,Slowed: 10m,NULL,NULL,BNW,05:00,DLI,08:50,3h 50m,21,SMTWTFS,NULL,119 km,31 km/hr,54423
536,54414,Rewari - Delhi Passenger (UnReserved),Pass,NR,No Speed Change,NULL,NULL,RE,07:05,DLI,09:40,2h 35m,16,SMTWTFS,NULL,82 km,32 km/hr,54413
537,54036,Jakhal - Delhi Passenger (UnReserved),Pass,NR,Slowed: 10m,NULL,NULL,JHL,04:35,DLI,10:20,5h 45m,34,SMTWTFS,NULL,199 km,35 km/hr,54035
538,54032,Jind - Delhi Passenger (UnReserved),Pass,NR,Slowed: 5m,NULL,NULL,JIND,07:15,DLI,11:00,3h 45m,24,SMTWTFS,NULL,127 km,34 km/hr,NULL
539,51910,Saharanpur - Delhi Passenger (via Shamli) (UnReserved),Pass,NCR,Slowed: 5m,NULL,NULL,SRE,06:55,DLI,12:20,5h 25m,35,SMTWTFS,NULL,165 km,30 km/hr,51909
540,54310,Hisar - Delhi Passenger (via Sadulpur) (UnReserved),Pass,NR,Src Changed.,NULL,NULL,HSR,03:40,DLI,12:20,8h 40m,43,SMTWTFS,NULL,294 km,34 km/hr,54309
541,54086,Rewari - Delhi Passenger (UnReserved),Pass,NR,Speeded: 20m,NULL,NULL,RE,11:10,DLI,14:00,2h 50m,16,SMTWTFS,NULL,82 km,29 km/hr,54085
542,54416,Rewari - Delhi Passenger (UnReserved),Pass,NR,No Speed Change,NULL,NULL,RE,13:10,DLI,15:40,2h 30m,16,SMTWTFS,NULL,82 km,33 km/hr,54417
543,54034,Jind - Delhi Passenger (UnReserved),Pass,NR,No Speed Change,NULL,NULL,JIND,15:50,DLI,19:45,3h 55m,24,SMTWTFS,NULL,127 km,32 km/hr,NULL
544,54420,Rewari - Delhi Passenger (UnReserved),Pass,NR,No Speed Change,NULL,NULL,RE,19:25,DLI,22:20,2h 55m,16,SMTWTFS,NULL,82 km,28 km/hr,54421
545,54024,Jind - Delhi Passenger (UnReserved),Pass,NR,Speeded: 5m,NULL,NULL,JIND,17:45,DLI,22:15,4h 30m,23,SMTWTFS,NULL,127 km,28 km/hr,NULL
546,51912,Saharanpur - Delhi Passenger (via Shamli) (UnReserved),Pass,NCR,No Speed Change,NULL,NULL,SRE,18:15,DLI,23:50,5h 35m,34,SMTWTFS,NULL,165 km,30 km/hr,51911
547,54413,Delhi - Rewari Passenger (UnReserved),Pass,NR,No Speed Change,NULL,NULL,DLI,03:15,RE,05:45,2h 30m,15,SMTWTFS,NULL,82 km,33 km/hr,54414
548,54309,Delhi - Hisar Passenger (via Sadulpur) (UnReserved),Pass,NR,Dest Changed.,NULL,NULL,DLI,05:20,HSR,14:00,8h 40m,43,SMTWTFS,NULL,294 km,34 km/hr,54310
549,54085,Delhi - Rewari Passenger (UnReserved),Pass,NR,No Speed Change,NULL,NULL,DLI,06:55,RE,09:35,2h 40m,16,SMTWTFS,NULL,82 km,31 km/hr,54086
550,54417,Delhi - Rewari Passenger (UnReserved),Pass,NR,No Speed Change,NULL,NULL,DLI,16:10,RE,18:45,2h 35m,16,SMTWTFS,NULL,82 km,32 km/hr,54416
551,54787,Bhiwani - Rewari Passenger (UnReserved),Pass,NWR,Slowed: 5m,NULL,NULL,BNW,06:40,RE,08:45,2h 5m,11,SMTWTFS,NULL,83 km,40 km/hr,54788
552,54835,Hisar - Rewari Passenger (UnReserved),Pass,NWR,No Speed Change,NULL,NULL,HSR,06:30,RE,10:10,3h 40m,19,SMTWTFS,NULL,143 km,39 km/hr,54836
553,54421,Delhi - Rewari Passenger (UnReserved),Pass,NR,Speeded: 10m,NULL,NULL,DLI,11:15,RE,14:15,3h 0m,16,SMTWTFS,NULL,82 km,27 km/hr,54420
554,54316,Hisar - Rewari Passenger (Via - Sadulpur) (UnReserved),Pass,NWR,Slowed: 5m,NULL,NULL,HSR,14:30,RE,19:50,5h 20m,26,SMTWTFS,NULL,211 km,40 km/hr,54315
555,54833,Jaipur - Hisar Passenger,Pass,NWR,No Speed Change,NULL,NULL,JP,18:25,HSR,04:05,9h 40m,39,SMTWTFS,SL ,368 km,38 km/hr,54834
556,54781,Bathinda - Rewari Passenger (UnReserved),Pass,NWR,Speeded: 35m,NULL,NULL,BTI,17:30,RE,01:15,7h 45m,36,SMTWTFS,NULL,300 km,39 km/hr,54782
557,51973,Mathura - Jaipur Passenger (UnReserved),Pass,NCR,Slowed: 5m,NULL,NULL,MTJ,06:40,JP,13:55,7h 15m,34,SMTWTFS,NULL,274 km,38 km/hr,51974
558,51971,Mathura - Alwar Passenger (UnReserved),Pass,NCR,Slowed: 5m,NULL,NULL,MTJ,09:50,AWR,13:00,3h 10m,13,SMTWTFS,NULL,123 km,39 km/hr,51972
559,54791,Mathura - Bhiwani Passenger (UnReserved),Pass,NWR,Slowed: 10m,NULL,NULL,MTJ,13:20,BNW,21:00,7h 40m,32,SMTWTFS,NULL,281 km,37 km/hr,54792
560,59509,Mahesana -  Viramgam Passenger (UnReserved),Pass,WR,No Speed Change,NULL,NULL,MSH,08:40,VG,10:20,1h 40m,6,SMTWTFS,NULL,65 km,39 km/hr,59510
561,59504,Okha - Viramgam Fast Passenger (UnReserved),Pass,WR,No Speed Change,NULL,NULL,OKHA,02:45,VG,16:45,14h 0m,46,SMTWTFS,NULL,433 km,31 km/hr,59503
562,59511,Mahesana -  Viramgam Passenger (UnReserved),Pass,WR,No TT Change,NULL,NULL,MSH,20:00,VG,21:35,1h 35m,6,SMTWTFS,NULL,65 km,41 km/hr,59512
563,58013,Howrah - Bokaro Steel City Fast Passenger,Pass,SER,Slowed: 5m,NULL,NULL,HWH,23:05,BKSC,09:05,10h 0m,33,SMTWTFS,SL 3A ,367 km,37 km/hr,58014
564,58652,Lohardaga - Ranchi Passenger (UnReserved),Pass,SER,No Speed Change,NULL,NULL,LAD,07:00,RNC,08:30,1h 30m,8,SMTWTFS,NULL,67 km,45 km/hr,58651
565,58025,Kharagpur - Hatia Passenger (UnReserved),Pass,SER,Speeded: 5m,NULL,NULL,KGP,08:45,HTE,19:30,10h 45m,42,SMTWTFS,NULL,338 km,31 km/hr,58026
566,57229,Machilipatnam - Visakhapatnam Passenger,Pass,SCoR,Speeded: 40m,NULL,NULL,MTM,21:05,VSKP,08:10,11h 5m,30,SMTWTFS,SL ,372 km,34 km/hr,57230
567,57225,Vijayawada - Visakhapatnam Passenger (UnReserved),Pass,SCoR,Speeded: 35m,NULL,NULL,BZA,08:25,VSKP,18:25,10h 0m,49,SMTWTFS,NULL,350 km,35 km/hr,57226
568,58502,Kirandul - Visakhapatnam Passenger,Pass,SCoR,Slowed: 15m,NULL,NULL,KRDL,06:00,VSKP,20:10,14h 10m,48,SMTWTFS,2S SL Ex ,471 km,33 km/hr,58501
569,58221,Chirimiri - Chandia Road Passenger,Pass,SECR,Slowed: 15m,NULL,NULL,CHRM,08:15,CHD,13:55,5h 40m,18,SMTWTFS,SL ,212 km,37 km/hr,58222
570,57230,Visakhapatnam - Machilipatnam Passenger,Pass,SCoR,Speeded: 1h 30m,NULL,NULL,VSKP,19:15,MTM,06:00,10h 45m,33,SMTWTFS,SL ,372 km,35 km/hr,57229
571,56008,Katpadi - Arakkonam Passenger (UnReserved),Pass,SR,No Speed Change,NULL,NULL,KPD,04:35,AJJ,06:25,1h 50m,8,SMTWTFS,NULL,61 km,33 km/hr,56007
572,56869,Tirupati - Puducherry Passenger (UnReserved),Pass,SR,Speeded: 25m,NULL,NULL,TPTY,04:25,PDY,13:45,9h 20m,41,SMTWTFS,NULL,287 km,31 km/hr,56870
573,56012,Kadapa (Cuddapah) - Arakkonam Passenger (UnReserved),Pass,SR,No Speed Change,NULL,NULL,HX,14:45,AJJ,20:55,6h 10m,26,SMTWTFS,NULL,194 km,31 km/hr,56011
574,56870,Puducherry - Tirupati Passenger (UnReserved),Pass,SR,Speeded: 30m,NULL,NULL,PDY,13:50,TPTY,22:45,8h 55m,40,SMTWTFS,NULL,287 km,32 km/hr,56869
575,51815,Jhansi - Agra Cantt. Passenger (UnReserved),Pass,NCR,Slowed: 15m,NULL,NULL,JHS,07:15,AGC,12:40,5h 25m,23,SMTWTFS,NULL,216 km,40 km/hr,51816
576,51881,Gwalior - Agra Cantt. Fast Passenger (UnReserved),Pass,NCR,No Speed Change,NULL,NULL,GWL,18:10,AGC,21:30,3h 20m,12,SMTWTFS,NULL,118 km,35 km/hr,51882
577,55328,Farrukhabad - Kanpur Anwarganj Passenger (UnReserved),Pass,NER,Dest Changed.,NULL,NULL,FBD,05:25,CPA,09:40,4h 15m,24,SMTWTFS,NULL,137 km,32 km/hr,55327
578,54161,Khajuraho - Kanpur Central Passenger (UnReserved),Pass,NCR,Slowed: 10m,NULL,NULL,KURJ,04:05,CNB,10:50,6h 45m,25,SMTWTFS,NULL,261 km,39 km/hr,54162
579,54156,Farrukhabad - Kanpur Central Passenger (UnReserved),Pass,NCR,Slowed: 5m,NULL,NULL,FBD,10:05,CNB,14:20,4h 15m,25,SMTWTFS,NULL,140 km,33 km/hr,54155
580,51814,Lucknow - Jhansi Passenger (UnReserved),Pass,NCR,Slowed: 5m,NULL,NULL,LKO,16:30,JHS,00:25,7h 55m,37,SMTWTFS,NULL,292 km,37 km/hr,51813
581,54325,Sitapur City - Kanpur Central Passenger (UnReserved),Pass,NR,No Speed Change,NULL,NULL,SPC,11:00,CNB,20:05,9h 5m,28,SMTWTFS,NULL,177 km,20 km/hr,54326
582,51189,Itarsi -  Allahabad Chheoki Passenger (UnReserved),Pass,CR,Speeded: 50m,NULL,NULL,ET,12:20,ACOI,09:40,21h 20m,60,SMTWTFS,NULL,605 km,28 km/hr,51190
583,54214,Jaunpur Jn. - Prayag Ghat Passenger (UnReserved),Pass,NR,Old TT,NULL,NULL,JNU,05:35,PYG,10:20,4h 45m,17,SMTWTFS,NULL,111 km,23 km/hr,54213
584,54482,Rishikesh - Haridwar Passenger (UnReserved),Pass,NR,Slowed: 20m,NULL,NULL,RKSH,07:35,HW,08:55,1h 20m,3,SMTWTFS,NULL,23 km,17 km/hr,54481
585,54341,Saharanpur - Dehradun Passenger (UnReserved),Pass,NR,Slowed: 10m,NULL,NULL,SRE,14:00,DDN,20:35,6h 35m,19,SMTWTFS,NULL,132 km,20 km/hr,54342
586,54486,Rishikesh - Haridwar Passenger (UnReserved),Pass,NR,Slowed: 5m,NULL,NULL,RKSH,18:30,HW,19:30,1h 0m,3,SMTWTFS,NULL,23 km,23 km/hr,54485
587,54377,Prayag Ghat - Bareilly Passenger (UnReserved),Pass,NR,Src Changed.,NULL,NULL,PYG,00:25,BE,15:00,14h 35m,61,SMTWTFS,NULL,433 km,30 km/hr,54378
588,54254,Lucknow - Prayag Ghat Passenger (UnReserved),Pass,NR,Dest Changed.,NULL,NULL,LKO,05:25,PYG,13:25,8h 0m,31,SMTWTFS,NULL,229 km,29 km/hr,54253
589,54222,Raghuraj Singh - Rae Bareli Passenger (UnReserved),Pass,NR,No TT Change,NULL,NULL,RRS,07:25,RBL,09:40,2h 15m,8,SMTWTFS,NULL,57 km,26 km/hr,54221
590,54225,Unchahar - Raebareli Passanger (UnReserved),Pass,NR,No TT Change,NULL,NULL,UCR,09:55,RBL,10:45,0h 50m,3,SMTWTFS,NULL,38 km,46 km/hr,54226
591,54227,Unchahar - Raebareli Passanger (UnReserved),Pass,NR,No Speed Change,NULL,NULL,UCR,17:15,RBL,18:30,1h 15m,3,SMTWTFS,NULL,38 km,30 km/hr,54228
592,54224,Raghuraj Singh - Rae Bareli Passenger (UnReserved),Pass,NR,No Speed Change,NULL,NULL,RRS,20:40,RBL,22:40,2h 0m,8,SMTWTFS,NULL,57 km,29 km/hr,54223
593,50104,Ratnagiri - Dadar Passenger,Pass,KR,No Speed Change,NULL,NULL,RN,05:30,DR,14:20,8h 50m,36,SMTWTFS,2S ,335 km,38 km/hr,50103
594,50103,Dadar - Ratnagiri Passenger,Pass,KR,Slowed: 1h 20m,NULL,NULL,DR,15:40,RN,01:45,10h 5m,36,SMTWTFS,2S ,335 km,33 km/hr,50104
595,51424,Manmad - Igatpuri Shuttle (UnReserved),Pass,CR,No TT Change,NULL,NULL,MMR,13:50,IGP,17:15,3h 25m,13,SMTWTFS,NULL,124 km,36 km/hr,51423
596,51684,Bir - Khandwa Shuttle (UnReserved),Pass,WCR,No TT Change,NULL,NULL,BIR,06:25,KNW,07:15,0h 50m,3, MTWTFS,NULL,34 km,41 km/hr,51683
597,51686,Bir - Khandwa Shuttle (UnReserved),Pass,WCR,No Speed Change,NULL,NULL,BIR,09:45,KNW,10:40,0h 55m,3, MTWTFS,NULL,34 km,37 km/hr,51685
598,51688,Bir - Khandwa Shuttle (UnReserved),Pass,WCR,No TT Change,NULL,NULL,BIR,15:15,KNW,16:10,0h 55m,3, MTWTFS,NULL,34 km,37 km/hr,51687
599,51602,Katni - Bina Passenger (UnReserved),Pass,WCR,NULL,NULL,NULL,KTE,13:30,BINA,21:50,8h 20m,30,SMTWTFS,NULL,262 km,31 km/hr,51601
600,51812,Jhansi - Bina Passenger (UnReserved),Pass,NCR,No Speed Change,NULL,NULL,JHS,06:50,BINA,11:00,4h 10m,18,SMTWTFS,NULL,153 km,37 km/hr,51811
601,51608,Guna - Bina Passenger (UnReserved),Pass,WCR,No Speed Change,NULL,NULL,GUNA,09:45,BINA,12:40,2h 55m,15,SMTWTFS,NULL,119 km,41 km/hr,51607
602,51611,Kota - Bina Passenger (UnReserved),Pass,WCR,Speeded: 10m,NULL,NULL,KOTA,08:25,BINA,17:05,8h 40m,36,SMTWTFS,NULL,303 km,35 km/hr,51612
603,51610,Guna - Bina Passenger (UnReserved),Pass,WCR,No Speed Change,NULL,NULL,GUNA,18:55,BINA,21:55,3h 0m,15,SMTWTFS,NULL,119 km,40 km/hr,51609
604,51828,Jhansi - Itarsi Passenger (UnReserved),Pass,NCR,No Speed Change,NULL,NULL,JHS,18:10,ET,11:20,17h 10m,42,SMTWTFS,NULL,384 km,22 km/hr,51827
605,51832,Agra Cantt. - Jhansi Passenger (UnReserved),Pass,NCR,Slowed: 15m,NULL,NULL,AGC,06:05,JHS,11:25,5h 20m,23,SMTWTFS,NULL,216 km,40 km/hr,51831
606,51811,Bina - Jhansi Passenger (UnReserved),Pass,NCR,Speeded: 30m,NULL,NULL,BINA,15:00,JHS,18:25,3h 25m,18,SMTWTFS,NULL,153 km,45 km/hr,51812
607,51816,Agra Cantt. - Jhansi Passenger (UnReserved),Pass,NCR,No Speed Change,NULL,NULL,AGC,14:45,JHS,20:15,5h 30m,23,SMTWTFS,NULL,216 km,39 km/hr,51815
608,51765,Satna - Manikpur Passenger (UnReserved),Pass,WCR,No Speed Change,NULL,NULL,STA,16:10,MKP,19:15,3h 5m,8,SMTWTFS,NULL,78 km,25 km/hr,51766
609,57305,Kacheguda - Guntur Passenger,Pass,SCR,No Speed Change,NULL,NULL,KCG,14:40,GNT,08:45,18h 5m,76,SMTWTFS,SL ,623 km,34 km/hr,57306
610,57327,Dhone - Guntur Passenger (UnReserved),Pass,SCR,No Speed Change,NULL,NULL,DHNE,06:30,GNT,15:20,8h 50m,34,SMTWTFS,NULL,333 km,38 km/hr,57328
611,57320,Macherla - Guntur Passenger (UnReserved),Pass,SCR,No TT Change,NULL,NULL,MCLA,16:30,GNT,19:45,3h 15m,15,SMTWTFS,NULL,130 km,40 km/hr,57317
612,57452,Guntakal - Chikjajur Passenger (UnReserved),Pass,SCR,No Speed Change,NULL,NULL,GTL,07:05,JRU,13:10,6h 5m,21,SMTWTFS,NULL,235 km,39 km/hr,57451
613,54542,Ambala Cantt - Meerut City Passenger (UnReserved),Pass,NR,Speeded: 35m,NULL,NULL,UMB,16:30,MTC,23:00,6h 30m,26,SMTWTFS,NULL,195 km,30 km/hr,54541
614,56961,Kulem - Vasco Da Gama Passenger (UnReserved),Pass,SWR,No TT Change,NULL,NULL,QLM,06:30,VSG,08:20,1h 50m,9,SMTWTFS,NULL,58 km,32 km/hr,56962
615,56962,Vasco Da Gama - Kulem Passenger (UnReserved),Pass,SWR,Slowed: 10m,NULL,NULL,VSG,07:30,QLM,09:10,1h 40m,9,SMTWTFS,NULL,58 km,35 km/hr,56961
616,56640,Mangaluru Central - Madgaon Passenger,Pass,SR,Slowed: 1h 20m,NULL,NULL,MAQ,05:30,MAO,13:40,8h 10m,28,SMTWTFS,2S ,319 km,39 km/hr,56641
617,56963,Kulem - Vasco-Da-Gama Passenger (UnReserved),Pass,SWR,No Speed Change,NULL,NULL,QLM,12:20,VSG,14:05,1h 45m,10,SMTWTFS,NULL,58 km,33 km/hr,56964
618,56964,Vasco-Da-Gama - Kulem Passenger (UnReserved),Pass,SWR,No Speed Change,NULL,NULL,VSG,13:10,QLM,15:00,1h 50m,10,SMTWTFS,NULL,58 km,32 km/hr,56963
619,56965,Kulem - Vasco Da Gama Passenger (UnReserved),Pass,SWR,No TT Change,NULL,NULL,QLM,17:15,VSG,19:00,1h 45m,10,SMTWTFS,NULL,58 km,33 km/hr,56966
620,56966,Vasco Da Gama - Kulem Passenger (UnReserved),Pass,SWR,No Speed Change,NULL,NULL,VSG,17:30,QLM,19:10,1h 40m,10,SMTWTFS,NULL,58 km,35 km/hr,56965
621,51701,Jabalpur - Rewa Shuttle Passenger,Pass,WCR,No Speed Change,NULL,NULL,JBP,07:20,REWA,13:00,5h 40m,24,SMTWTFS,2S CC ,238 km,42 km/hr,51702
622,51671,Itarsi - Satna Passenger (UnReserved),Pass,WCR,No Speed Change,NULL,NULL,ET,04:25,STA,14:10,9h 45m,40,SMTWTFS,NULL,434 km,45 km/hr,51672
623,51606,Chirimiri - Katni Fast Passenger (UnReserved),Pass,WCR,Dest Changed.,NULL,NULL,CHRM,03:15,KTE,11:40,8h 25m,26,SMTWTFS,NULL,252 km,30 km/hr,51605
624,51601,Bina - Katni Murwara Passenger (UnReserved),Pass,WCR,No Speed Change,NULL,NULL,BINA,08:00,KMZ,15:15,7h 15m,29,SMTWTFS,NULL,261 km,36 km/hr,51602
625,51702,Rewa - Jabalpur Shuttle Passenger,Pass,WCR,Speeded: 10m,NULL,NULL,REWA,14:00,JBP,20:20,6h 20m,24,SMTWTFS,2S CC ,238 km,38 km/hr,51701
626,51603,Bina - Katni Passenger (UnReserved),Pass,WCR,No Speed Change,NULL,NULL,BINA,13:30,KTE,20:00,6h 30m,30,SMTWTFS,NULL,262 km,40 km/hr,51604
627,51753,Rewa - Chirimiri Fast Passenger,Pass,WCR,No Speed Change,NULL,NULL,REWA,18:00,CHRM,05:30,11h 30m,28,SMTWTFS,SL ,399 km,35 km/hr,51754
628,55041,Narkatiaganj - Gorakhpur Passenger (UnReserved),Pass,NER,Slowed: 25m,NULL,NULL,NKE,01:25,GKP,06:05,4h 40m,14,SMTWTFS,NULL,150 km,32 km/hr,55042
629,55120,Varanasi City - Gorakhpur Passenger (UnReserved),Pass,NER,No Speed Change,NULL,NULL,BCY,11:25,GKP,21:25,10h 0m,32,SMTWTFS,NULL,228 km,23 km/hr,55119
630,55001,Gorakhpur - Ayodhya Passenger (UnReserved),Pass,NER,No Speed Change,NULL,NULL,GKP,07:40,AY,13:15,5h 35m,24,SMTWTFS,NULL,162 km,29 km/hr,55002
631,52268,Nepalganj Road - Bahraich MG Passenger (UnReserved),Pass,NER,Old TT,NULL,NULL,NPR,14:00,BRK,16:00,2h 0m,4,SMTWTFS,NULL,54 km,27 km/hr,52267
632,52264,Nepalganj Road - Bahraich MG Passenger (UnReserved),Pass,NER,Slowed: 10m,NULL,NULL,NPR,06:50,BRK,09:00,2h 10m,4,SMTWTFS,NULL,54 km,25 km/hr,52263
633,52266,Nepalganj Road - Bahraich MG Passenger (UnReserved),Pass,NER,No Speed Change,NULL,NULL,NPR,15:50,BRK,17:55,2h 5m,4,SMTWTFS,NULL,54 km,26 km/hr,52265
634,58222,Chandia Road - Chirimiri Passenger,Pass,SECR,No Speed Change,NULL,NULL,CHD,14:15,CHRM,19:40,5h 25m,18,SMTWTFS,SL ,212 km,39 km/hr,58221
635,55021,Samastipur - Siwan Intercity Passenger (UnReserved),Pass,NER,Slowed: 1h 0m,NULL,NULL,SPJ,15:00,SV,23:20,8h 20m,38,SMTWTFS,NULL,227 km,27 km/hr,55022
636,56385,Ernakulam - Kottayam Passenger (UnReserved),Pass,SR,Slowed: 5m,NULL,NULL,ERS,07:20,KTYM,09:10,1h 50m,10,SMTWTFS,NULL,60 km,33 km/hr,56390
637,53627,Kiul - Gaya Passenger (UnReserved),Pass,ECR,Slowed: 1h 35m,NULL,NULL,KIUL,05:45,GAYA,12:45,7h 0m,18,SMTWTFS,NULL,129 km,18 km/hr,53626
638,53629,Kiul - Gaya Passenger (UnReserved),Pass,ECR,Slowed: 40m,NULL,NULL,KIUL,13:00,GAYA,18:25,5h 25m,23,SMTWTFS,NULL,129 km,24 km/hr,53630
639,54626,Jalandhar City-Jaijon Doaba Passenger (UnReserved),Pass,NR,No Speed Change,NULL,NULL,JUC,17:10,JJJ,20:30,3h 20m,17,SMTWTFS,NULL,102 km,31 km/hr,54625
